Location,State,Region
"ATLANTA, GA",GEORGIA,SOUTH
"AUSTIN, TX",TEXAS,SOUTH
"BALTIMORE, MD",MARYLAND,SOUTH
"BOSTON, MA",MASSACHUSETTS,NORTHEAST
"CHICAGO, IL",ILLINOIS,MIDWEST
"COLUMBUS, OH",OHIO,MIDWEST
"DENVER, CO",COLORADO,WEST
"DETROIT, MI",MICHIGAN,MIDWEST
"EL PASO, TX",TEXAS,SOUTH
"FORT WORTH, TX",TEXAS,SOUTH
"HOUSTON, TX",TEXAS,SOUTH
"JACKSONVILLE, FL",FLORIDA,SOUTH
"LAS VEGAS, NV",NEVADA,WEST
"LOS ANGELES, CA",CALIFORNIA,WEST
"MIAMI, FL",FLORIDA,SOUTH
"MINNEAPOLIS, MN",MINNESOTA,MIDWEST
"NEW YORK, NY",NEW YORK,NORTHEAST
"PHILADELPHIA, PA",PENNSYLVANIA,NORTHEAST
"PHOENIX, AZ",ARIZONA,WEST
"RICHMOND, VA",VIRGINIA,SOUTH
"SAN ANTONIO, TX",TEXAS,SOUTH
"SAN DIEGO, CA",CALIFORNIA,WEST
"SAN FRANCISCO, CA",CALIFORNIA,WEST
"SEATTLE, WA",WASHINGTON,WEST
"ST. LOUIS, MO",MISSOURI,MIDWEST
"TAMPA, FL",FLORIDA,SOUTH
"TRENTON, NJ",NEW JERSEY,NORTHEAST
"WASHINGTON, DC","WASHINGTON, D.C.",SOUTH
