Jurisdiction,Sample ID,Collection Date,Stored at 4C? (Y/N),PCR Inhibited? (Y/N/Partial),Location (Indoor/Outdoor/Transit/Special Event)
DCA,12311,7/15/2024,Y,N,Transit
DCA,12311,4/23/2024,Y,N,Transit
DCA,12311,1/22/2024,Y,N,Transit
DCA,16527,7/15/2024,Y,N,Indoor
DCA,16527,4/23/2024,Y,N,Indoor
DCA,16527,1/22/2024,Y,N,Indoor
DCA,16531,7/15/2024,Y,N,Indoor
DCA,16531,4/23/2024,Y,N,Indoor
DCA,16531,1/22/2024,Y,N,Indoor
DCA,16565,7/15/2024,Y,N,Transit
DCA,16565,4/23/2024,Y,N,Transit
DCA,16565,1/22/2024,Y,N,Transit
DCA,20074,7/15/2024,Y,N,Outdoor
DCA,20074,4/23/2024,Y,N,Outdoor
DCA,20074,1/22/2024,Y,N,Outdoor
DCA,20078,7/15/2024,Y,N,Transit
DCA,20078,4/23/2024,Y,N,Transit
DCA,20078,1/22/2024,Y,N,Transit
DCA,20838,7/15/2024,Y,N,Outdoor
DCA,20838,4/23/2024,Y,N,Outdoor
DCA,20838,1/22/2024,Y,N,Outdoor
DCA,20842,7/15/2024,Y,N,Indoor
DCA,20842,4/23/2024,Y,N,Indoor
DCA,20842,1/22/2024,Y,N,Outdoor
Columbus,G0CM265H3,7/16/2024,Y,N,Outdoor
Columbus,G0CM265RM,7/16/2024,Y,N,Outdoor
Columbus,G0CM265Y7,7/16/2024,Y,N,Outdoor
Columbus,G0CM267PP,7/16/2024,Y,N,Outdoor
Columbus,G0CM267X7,7/16/2024,Y,N,Outdoor
Columbus,G0CM2687M,7/16/2024,Y,N,Outdoor
Columbus,G0CM2692X,7/16/2024,Y,N,Outdoor
Cleveland,G0CV2DRNC,7/16/2024,Y,N,Outdoor
Cleveland,G0CV2DTUO,7/16/2024,Y,N,Outdoor
Cleveland,G0CV2DTYQ,7/16/2024,Y,N,Outdoor
AUS,G0AN29T34,1/15/2024,Y,Y,Outdoor
AUS,G0AN29T50,1/15/2024,Y,Y,Outdoor
AUS,G0AN29T6X,1/15/2024,Y,Y,Outdoor
AUS,G0AN29T7V,1/15/2024,Y,Y,Outdoor
AUS,G0AN29T8T,1/15/2024,Y,Y,Outdoor
AUS,G0AN29T9Q,1/15/2024,Y,Y,Outdoor
AUS,G0AN29TAN,1/15/2024,Y,Y,Outdoor
AUS,G0AN29TCK,1/15/2024,Y,Y,Outdoor
AUS,G0AN2D25H,7/14/2024,Y,N,Outdoor
AUS,G0AN2D26F,7/14/2024,Y,N,Outdoor
AUS,G0AN2D27F,7/14/2024,Y,N,Outdoor
AUS,G0AN2D28A,7/14/2024,Y,N,Outdoor
AUS,G0AN2D298,7/14/2024,Y,N,Outdoor
AUS,G0AN2D2A6,7/14/2024,Y,N,Outdoor
AUS,G0AN2D2D2,7/14/2024,Y,N,Outdoor
AUS,G0AN2D2GU,7/14/2024,Y,N,Outdoor
ATL,G0AT28MDG,1/17/2024 6:32,Y,N,OUTDOOR
ATL,G0AT28MK2,1/17/2024 8:06,Y,N,OUTDOOR
ATL,G0AT28MPV,1/17/2024 6:07,Y,N,OUTDOOR
ATL,G0AT28MTN,1/17/2024 6:07,Y,N,OUTDOOR
ATL,G0AT28MVH,1/17/2024 7:39,Y,N,OUTDOOR
ATL,G0AT28MWF,1/17/2024 5:38,Y,N,OUTDOOR
ATL,G0AT28N32,1/17/2024 7:33,Y,N,OUTDOOR
ATL,G0AT28N6V,1/17/2024 7:15,Y,N,OUTDOOR
ATL,G0AT2A781,4/22/2024 5:01,Y,N,OUTDOOR
ATL,G0AT2A7EP,4/22/2024 7:02,Y,N,OUTDOOR
