Jurisdiction,Site Number,Collection Date / Date on sheet,Stored at 4C? (Y/N),PCR Inhibited? (Y/N/Partial),Location (Indoor/Outdoor/Transit/Special Event),Sample Tracking Tool Number,Sample #,Date on dish,Location (on dish),NF
"Miami, FL",150-010,1/17/2024,Y,N,Outdoor,G0MD2VFND,.,1/17/2024,"Miami, FL",0
"Miami, FL",150-016,1/17/2024,Y,N,Outdoor,G0MD2VEWY,.,1/17/2024,"Miami, FL",0
"Miami, FL",150-021,1/17/2024,Y,N,Outdoor,G0MR2EE0X,.,1/17/2024,"Miami, FL",0
"Miami, FL",150-031,1/17/2024,Y,N,Outdoor,G0MR2EAG0,.,1/17/2024,"Miami, FL",0
"Miami, FL",150-035,1/17/2024,Y,N,Outdoor,G0MR2EE8D,.,1/17/2024,"Miami, FL",0
"Miami, FL",150-041,1/17/2024,Y,N,Outdoor,G0MD2VFFU,.,1/17/2024,"Miami, FL",0
"Miami, FL",150-045,1/17/2024,Y,N,Outdoor,G0MD2VFJK,.,1/17/2024,"Miami, FL",0
"Miami, FL",150-011,1/17/2024,Y,N,Outdoor,G0MD2VFYT,.,1/17/2024,"Miami, FL",0
Pennsauken South NJ,410-251,12/19/2023,Y,N,Outdoor,G0NJ259JT,.,12/19/2023,"Trenton, NJ",0
Pennsauken South NJ,410-255,12/19/2023,Y,N,Outdoor,G0NJ259W4,.,12/19/2023,"Trenton, NJ",0
Pennsauken South NJ,410-256,12/19/2023,Y,N,Outdoor,G0NJ25A9A,.,12/19/2023,"Trenton, NJ",0
Pennsauken South NJ,410-259,12/19/2023,Y,N,Outdoor,G0NJ25AD4,.,12/19/2023,"Trenton, NJ",0
Pennsauken South NJ,410-263,12/19/2023,Y,N,Indoor,G0NJ259C7,A,12/19/2023,"Trenton, NJ",0
AUS,700-012,7/14/2024,Y,N,Outdoor,G0AN2D25H,A1,7/14/2024,"Austin, TX",0
PHX,625-213,7/15/2024,Y,N,Outdoor,G0PX2UYRK,A10,7/17/2024,"Phoenix, AZ",0
PHX,625-216,7/15/2024,Y,N,Outdoor,G0PX2V0MR,A11,7/17/2024,"Phoenix, AZ",0
PHX,625-215,7/15/2024,Y,N,Outdoor,G0PX2UYVD,A12,7/17/2024,"Phoenix, AZ",0
PHX,NF,7/15/2024,,,,215574,A13,7/17/2024,"Phoenix, AZ",1
PHX,625-308,7/15/2024,Y,N,Outdoor,G0PX2V04T,A14,7/17/2024,"Phoenix, AZ",0
PHX,625-309,7/15/2024,Y,N,Outdoor,G0PX2UYQN,A15,7/17/2024,"Phoenix, AZ",0
PHX,625-301,7/15/2024,Y,N,Outdoor,G0PX2V0HY,A16,7/17/2024,"Phoenix, AZ",0
PHX,625-112,7/15/2024,Y,N,Outdoor,G0PX2UYX8,A17,7/17/2024,"Phoenix, AZ",0
PHX,625-113,7/15/2024,Y,N,Outdoor,G0PX2UY13,A18,7/17/2024,"Phoenix, AZ",0
STL,325-410,4/24/2024,Y,N,Outdoor,G0TT2EJ9Y,A19,7/17/2024,"St. Louis, MO",0
AUS,700-010,7/14/2024,Y,N,Outdoor,G0AN2D2A6,A2,7/14/2024,"Austin, TX",0
STL,325-409,4/24/2024,Y,N,Outdoor,G0TT2EJM8,A20,4/24/2024,"St. Louis, MO",0
STL,325-431,4/24/2024,Y,N,Outdoor,G0TT2EJGH,A21,4/24/2024,"St. Louis, MO",0
STL,325-469,4/24/2024,Y,N,Outdoor,G0TT2EJAW,A22,4/24/2024,"St. Louis, MO",0
STL,325-467,4/24/2024,Y,N,Outdoor,G0TT2EJQ2,A23,4/24/2024,"St. Louis, MO",0
STL,325-420,4/24/2024,Y,N,Outdoor,G0TT2EJ3C,A24,4/24/2024,"St. Louis, MO",0
STL,325-401,4/24/2024,Y,N,Outdoor,G0TT2EJ73,A25,4/24/2024,"St. Louis, MO",0
STL,325-430,4/24/2024,Y,N,Outdoor,G0TT2EJCU,A26,4/24/2024,"St. Louis, MO",0
HOUSTON,300-040,4/23/2024,Y,N,Outdoor,G0HN3JKQ7,A27,7/17/2024,"Houston, TX",0
HOUSTON,300-004,4/23/2024,Y,Y,Outdoor,G0HN3JKFT,A28,7/17/2024,"Houston, TX",0
GALVESTON,300-023,4/23/2024,Y,N,Outdoor,G0GA1MM51,A29,7/17/2024,"Houston, TX",0
AUS,700-008,7/14/2024,Y,N,Outdoor,G0AN2D28A,A3,7/14/2024,"Austin, TX",0
HOUSTON,300-029,4/23/2024,Y,N,Outdoor,G0HN3JKT3,A30,7/17/2024,"Houston, TX",0
HOUSTON,300-002,4/23/2024,Y,Y,Outdoor,G0HN3JKVY,A31,7/17/2024,"Houston, TX",0
HOUSTON,300-025,4/23/2024,Y,N,Outdoor,G0HN3JKR5,A32,7/17/2024,"Houston, TX",0
GALVESTON,300-050,4/23/2024,Y,N,Outdoor,G0GA1MM6Y,A33,7/17/2024,"Houston, TX",0
GALVESTON,300-042,4/23/2024,Y,N,Outdoor,G0GA1MM43,A34,7/17/2024,"Houston, TX",0
Trenton NJ,410-264,4/15/2024,N,N,Outdoor,G0NJ276F0,A35,4/18/2024,"Trenton, NJ",0
Trenton NJ,410-263,4/15/2024,N,N,Indoor,G0NJ2756J,A36,4/18/2024,"Trenton, NJ",0
Trenton NJ,410-252,4/15/2024,N,N,Outdoor,G0NJ2770W,A37,4/18/2024,"Trenton, NJ",0
Trenton NJ,410-245,4/15/2024,N,N,Outdoor,G0NJ276YY,A38,4/18/2024,"Trenton, NJ",0
Trenton NJ,410-260,4/15/2024,N,N,Outdoor,G0NJ275JT,A39,4/18/2024,"Trenton, NJ",0
AUS,N/A,7/14/2024,Y,,,C00010R,A4,7/14/2024,"Austin, TX",1
Trenton NJ,410-262,4/15/2024,N,N,Indoor,G0NJ276V5,A40,4/18/2024,"Trenton, NJ",0
Trenton NJ,410-253,4/15/2024,N,N,Outdoor,G0NJ276D4,A41,4/18/2024,"Trenton, NJ",0
Trenton NJ,410-253,4/15/2024,N,N,Outdoor,G0NJ275U8,A42,4/18/2024,"Trenton, NJ",0
LAS,525-018,1/29/2024,Y,Partial,Outdoor,G0VE27FA3,A43,1/23/2024,"Las Vegas, NV",0
LAS,525-020,1/29/2024,Y,N,Outdoor,G0VE27FKH,A44,1/23/2024,"Las Vegas, NV",0
LAS,525-015,1/29/2024,Y,N,Outdoor,G0VE27FC1,A45,1/23/2024,"Las Vegas, NV",0
LAS,525-011,1/29/2024,Y,N,Outdoor,G0VE27FND,A46,1/23/2024,"Las Vegas, NV",0
LAS,525-017,1/29/2024,Y,N,Outdoor,G0VE27FEW,A47,1/23/2024,"Las Vegas, NV",0
LAS,525-007,1/29/2024,Y,N,Outdoor,G0VE27FMF,A48,1/23/2024,"Las Vegas, NV",0
LAS,525-014,1/29/2024,Y,N,Outdoor,G0VE27FGQ,A49,1/23/2024,"Las Vegas, NV",0
AUS,700-014,7/14/2024,Y,N,Outdoor,G0AN2D2GU,A5,7/14/2024,"Austin, TX",0
LAS,525-003,1/29/2024,Y,N,Outdoor,G0VE27F87,A50,1/23/2024,"Las Vegas, NV",0
"Miami, FL",150-031,4/22/2024,Y,N,Outdoor,G0MR2GEQ8,A51,7/17/2024,"Miami, FL",0
"Miami, FL",150-021,4/22/2024,Y,N,Outdoor,G0MR2GFYR,A52,7/17/2024,"Miami, FL",0
"Miami, FL",150-016,4/22/2024,Y,N,Outdoor,G0MD2XPXG,A53,7/17/2024,"Miami, FL",0
"Miami, FL",150-045,4/22/2024,Y,N,Outdoor,G0MD2XQ35,A54,7/17/2024,"Miami, FL",0
"Miami, FL",150-041,4/22/2024,Y,N,Outdoor,G0MD2XQ9R,A55,7/17/2024,"Miami, FL",0
"Miami, FL",150-035,4/22/2024,Y,N,Outdoor,G0MR2GFVY,A56,7/17/2024,"Miami, FL",0
"Miami, FL",150-011,4/22/2024,Y,N,Outdoor,G0MD2XPTR,A57,7/17/2024,"Miami, FL",0
"Miami, FL",150-010,4/22/2024,Y,N,Outdoor,G0MD2XPQW,A58,7/17/2024,"Miami, FL",0
WASHINGTONDC,000-101,2/12/2024,,,Special Event,G0PR1GK3C,A59,2/12/2024,"Washington, DC",0
AUS,700-013,7/14/2024,Y,N,Outdoor,G0AN2D2D2,A6,7/17/2024,"Austin, TX",0
WASHINGTONDC,000-106,2/12/2024,,,Special Event,G0PR1GJWR,A60,2/12/2024,"Washington, DC",0
WASHINGTONDC,000-114,2/12/2024,,,Special Event,G0PR1J4V4,A61,2/12/2024,"Washington, DC",0
WASHINGTONDC,000-104,2/12/2024,,,Special Event,G0PR1H75H,A62,2/13/2024,"Washington, DC",0
WASHINGTONDC,000-115,2/12/2024,,,Special Event,G0PR1GJ66,A63,2/13/2024,"Washington, DC",0
WASHINGTONDC,000-124,2/12/2024,,,Special Event,G0PR1GGWU,A64,2/13/2024,"Washington, DC",0
"Miami, FL",150-010,4/21/2024,Y,N,Outdoor,G0MD2X9GR,A65,4/21/2024,"Miami, FL",0
"Miami, FL",150-011,4/21/2024,Y,N,Outdoor,G0MD2WYH3,A66,4/21/2024,"Miami, FL",0
"Miami, FL",150-016,4/21/2024,,,,G0MDX9R7,A67,4/21/2024,"Miami, FL",0
"Miami, FL",150-021,4/21/2024,Y,N,Outdoor,G0MR2GEU2,A68,4/21/2024,"Miami, FL",0
"Miami, FL",150-031,4/21/2024,Y,N,Outdoor,G0MR2GD2N,A69,4/21/2024,"Miami, FL",0
AUS,700-016,7/14/2024,,,,G0AN2D27D,A7,7/14/2024,"Austin, TX",0
"Miami, FL",150-035,4/21/2024,Y,Y,Outdoor,G0MR2GEMF,A70,4/21/2024,"Miami, FL",0
"Miami, FL",150-041,4/21/2024,Y,N,Outdoor,G0MD2X92N,A71,4/21/2024,"Miami, FL",0
"Miami, FL",150-045,4/21/2024,Y,N,Outdoor,G0MD2X95F,A72,4/21/2024,"Miami, FL",0
LAS,525-007,4/23/2024,Y,N,Outdoor,G0VE28UPW,A73,4/23/2024,"Las Vegas, NV",0
LAS,525-011,4/23/2024,Y,N,Outdoor,G0VE28UNY,A74,4/23/2024,"Las Vegas, NV",0
LAS,525-017,4/23/2024,Y,N,Outdoor,G0VE28UDH,A75,4/23/2024,"Las Vegas, NV",0
LAS,525-018,4/23/2024,Y,N,Outdoor,G0VE28UFD,A76,4/23/2024,"Las Vegas, NV",0
LAS,525-020,4/23/2024,Y,N,Outdoor,G0VE28UTP,A77,4/23/2024,"Las Vegas, NV",0
LAS,525-014,4/23/2024,Y,N,Outdoor,G0VE28UK3,A78,4/23/2024,"Las Vegas, NV",0
LAS,525-015,4/23/2024,Y,N,Outdoor,G0VE28UG9,A79,4/23/2024,"Las Vegas, NV",0
AUS,700-020,7/14/2024,Y,N,Outdoor,G0AN2D26F,A8,7/14/2024,"Austin, TX",0
LAS,525-003,4/23/2024,Y,N,Outdoor,G0VE28UJ5,A80,7/17/2024,"Las Vegas, NV",0
AUS,700-011,7/14/2024,Y,N,Outdoor,G0AN2D298,A9,7/14/2024,"Austin, TX",0
JACKSONVILLE,550-005,4/17/2024,Y,Partial,Outdoor,G0JA27FXC,air1,4/17/2024,"jacksonville, FL",0
JACKSONVILLE,550-002,4/17/2024,Y,Y,Outdoor,G0JA27FY9,air2,4/17/2024,"jacksonville, FL",0
BOS,009-701,4/15/2024,Y,N,Special Event,G0TN2THVA,air3,4/15/2024,"Boston, MA",0
BOS,009-704,4/15/2024,Y,N,Special Event,G0TN2THX6,air4,4/15/2024,"Boston, MA",0
BOS,009-702,4/15/2024,Y,N,Special Event,G0TN2THG2,air5,4/15/2024,"Boston, MA",0
BOS,009-703,4/15/2024,Y,N,Special Event,G0TN2THQK,air6,4/15/2024,"Boston, MA",0
Pennsauken South NJ,410-262,12/19/2023,Y,N,Indoor,G0NJ2595M,B,12/19/2023,"Trenton, NJ",0
LAS,327,2/10/2024,"Y* stored at room temperature overnight, moved to 4Â°C at 12n on 2/11/24",N,SE - Indoor,G0VE26MMC,B1,4/18/2024,"Las Vegas, NV",0
BWRC,500-311,4/22/2024,Y,N,Outdoor,G0WR4CCJM,B10,7/17/2024,"Richmond, VA",0
BWRC,500-322,4/22/2024,Y,N,Outdoor,G0WR4CCMG,B11,7/17/2024,"Richmond, VA",0
BWRC,500-312,4/22/2024,Y,N,Outdoor,G0WR4CCHP,B12,7/17/2024,"Richmond, VA",0
BWRC,500-323,4/22/2024,Y,N,Outdoor,G0WR4CCKJ,B13,7/17/2024,"Richmond, VA",0
BWRC,500-313,4/22/2024,Y,N,Outdoor,G0WR4CCPC,B14,7/17/2024,"Richmond, VA",0
SAN DIEGO,275-012,4/23/2024,Y,N,Outdoor,G0ND26XGK,B15,4/26/2024,"San Diego, CA",0
SAN DIEGO,275-009,4/23/2024,,,,G0ND26Y06,B16,4/26/2024,"San Diego, CA",0
SAN DIEGO,275-026,4/23/2024,Y,N,Outdoor,G0ND26XDU,B17,4/26/2024,"San Diego, CA",0
SAN DIEGO,275-011,4/23/2024,Y,N,Outdoor,G0ND26Y2F,B18,4/26/2024,"San Diego, CA",0
SAN DIEGO,275-025,4/23/2024,,,,G0N026XWT,B19,4/26/2024,"San Diego, CA",0
LAS,325,2/10/2024,"Y* stored at room temperature overnight, moved to 4Â°C at 12n on 2/11/24",N,SE - Indoor,G0VE26MN9,B2,4/18/2024,"Las Vegas, NV",0
SAN DIEGO,275-005,4/23/2024,,,,G0ND26XXP,B20,4/26/2024,"San Diego, CA",0
SAN DIEGO,275-022,4/23/2024,Y,N,Outdoor,G0ND26XKD,B21,4/26/2024,"San Diego, CA",0
SAN DIEGO,275-024,4/23/2024,Y,N,Outdoor,G0ND26X91,B22,4/26/2024,"San Diego, CA",0
"Miami, FL",150-016,4/23/2024,Y,Y,Outdoor,G0MD2XQAP,B23,7/17/2024,"Miami, FL",0
"Miami, FL",150-045,4/23/2024,Y,N,Outdoor,G0MD2XPRU,B24,7/17/2024,"Miami, FL",0
"Miami, FL",150-041,4/23/2024,Y,N,Outdoor,G0MD2XQ7W,B25,7/17/2024,"Miami, FL",0
"Miami, FL",150-011,4/23/2024,Y,N,Outdoor,G0MD2X96D,B26,7/17/2024,"Miami, FL",0
