Jurisdiction,Site Number,Collection Date,Stored at 4C? (Y/N),PCR Inhibited? Y/N/Partial,Location (Indoor/Outdoor/Transit/Special Event),Sample Tool Tracking Number,Sample ID,Location (on dish),State
Secaucus North NJ,410-263,12/19/2023,Y,N,Indoor,G0NJ259C7,A,"Trenton, NJ",NEW JERSEY
AUS,,7/14/2024,Y,N,Outdoor,G0AN2D25H,A1,"Austin, TX",TEXAS
PHX,625-213,7/15/2024,Y,N,Outdoor,G0PX2UYRK,A10,"Phoenix, AZ",ARIZONA
PHX,625-216,7/15/2024,Y,N,Outdoor,G0PX2V0MR,A11,"Phoenix, AZ",ARIZONA
PHX,625-215,7/15/2024,Y,N,Outdoor,G0PX2UYVD,A12,"Phoenix, AZ",ARIZONA
PHX,,7/15/2024,,,,215574,A13,"Phoenix, AZ",ARIZONA
PHX,625-308,7/15/2024,Y,N,Outdoor,G0PX2V04T,A14,"Phoenix, AZ",ARIZONA
PHX,625-309,7/15/2024,Y,N,Outdoor,G0PX2UYQN,A15,"Phoenix, AZ",ARIZONA
PHX,625-301,7/15/2024,Y,N,Outdoor,G0PX2V0HY,A16,"Phoenix, AZ",ARIZONA
PHX,625-112,7/15/2024,Y,N,Outdoor,G0PX2UYX8,A17,"Phoenix, AZ",ARIZONA
PHX,625-113,7/15/2024,Y,N,Outdoor,G0PX2UY13,A18,"Phoenix, AZ",ARIZONA
STL,325-410,4/24/2024,Y,N,Outdoor,G0TT2EJ9Y,A19,"St. Louis, MO",MONTANA
AUS,,7/14/2024,Y,N,Outdoor,G0AN2D2A6,A2,"Austin, TX",TEXAS
STL,325-409,4/24/2024,Y,N,Outdoor,G0TT2EJM8,A20,"St. Louis, MO",MONTANA
STL,325-431,4/24/2024,Y,N,Outdoor,G0TT2EJGH,A21,"St. Louis, MO",MONTANA
STL,325-469,4/24/2024,Y,N,Outdoor,G0TT2EJAW,A22,"St. Louis, MO",MONTANA
STL,325-467,4/24/2024,Y,N,Outdoor,G0TT2EJQ2,A23,"St. Louis, MO",MONTANA
STL,325-420,4/24/2024,Y,N,Outdoor,G0TT2EJ3C,A24,"St. Louis, MO",MONTANA
STL,325-401,4/24/2024,Y,N,Outdoor,G0TT2EJ73,A25,"St. Louis, MO",MONTANA
STL,325-430,4/24/2024,Y,N,Outdoor,G0TT2EJCU,A26,"St. Louis, MO",MONTANA
HOUSTON,300-040,4/23/2024,Y,N,Outdoor,G0HN3JKQ7,A27,"Houston, TX",TEXAS
HOUSTON,300-004,4/23/2024,Y,Y,Outdoor,G0HN3JKFT,A28,"Houston, TX",TEXAS
GALVESTON,300-023,4/23/2024,Y,N,Outdoor,G0GA1MM51,A29,"Houston, TX",TEXAS
AUS,,7/14/2024,Y,N,Outdoor,G0AN2D28A,A3,"Austin, TX",TEXAS
HOUSTON,300-029,4/23/2024,Y,N,Outdoor,G0HN3JKT3,A30,"Houston, TX",TEXAS
HOUSTON,300-002,4/23/2024,Y,Y,Outdoor,G0HN3JKVY,A31,"Houston, TX",TEXAS
HOUSTON,300-025,4/23/2024,Y,N,Outdoor,G0HN3JKR5,A32,"Houston, TX",TEXAS
GALVESTON,300-050,4/23/2024,Y,N,Outdoor,G0GA1MM6Y,A33,"Houston, TX",TEXAS
GALVESTON,300-042,4/23/2024,Y,N,Outdoor,G0GA1MM43,A34,"Houston, TX",TEXAS
TRENTONNJ,,4/15/2024,,,Outdoor,G0NJ276F0,A35,"Trenton, NJ",NEW JERSEY
TRENTONNJ,,4/15/2024,,,Indoor,G0NJ2756J,A36,"Trenton, NJ",NEW JERSEY
TRENTONNJ,,4/15/2024,,,Outdoor,G0NJ2770W,A37,"Trenton, NJ",NEW JERSEY
TRENTONNJ,,4/15/2024,,,Outdoor,G0NJ276YY,A38,"Trenton, NJ",NEW JERSEY
TRENTONNJ,,4/15/2024,,,Outdoor,G0NJ275JT,A39,"Trenton, NJ",NEW JERSEY
AUS,,7/14/2024,,,,C00010R,A4,"Austin, TX",TEXAS
TRENTONNJ,,4/15/2024,,,Indoor,G0NJ276V5,A40,"Trenton, NJ",NEW JERSEY
TRENTONNJ,,4/15/2024,,,Outdoor,G0NJ276D4,A41,"Trenton, NJ",NEW JERSEY
TRENTONNJ,,4/15/2024,,,Outdoor,G0NJ275U8,A42,"Trenton, NJ",NEW JERSEY
LAS,,1/29/2024,Y,Partial,Outdoor,G0VE27FA3,A43,"Las Vegas, NV",NEVADA
LAS,,1/29/2024,Y,N,Outdoor,G0VE27FKH,A44,"Las Vegas, NV",NEVADA
LAS,,1/29/2024,Y,N,Outdoor,G0VE27FC1,A45,"Las Vegas, NV",NEVADA
LAS,,1/29/2024,Y,N,Outdoor,G0VE27FND,A46,"Las Vegas, NV",NEVADA
LAS,,1/29/2024,Y,N,Outdoor,G0VE27FEW,A47,"Las Vegas, NV",NEVADA
LAS,,1/29/2024,Y,N,Outdoor,G0VE27FMF,A48,"Las Vegas, NV",NEVADA
LAS,,1/29/2024,Y,N,Outdoor,G0VE27FGQ,A49,"Las Vegas, NV",NEVADA
AUS,,7/14/2024,Y,N,Outdoor,G0AN2D2GU,A5,"Austin, TX",TEXAS
LAS,,1/29/2024,Y,N,Outdoor,G0VE27F87,A50,"Las Vegas, NV",NEVADA
"Miami, FL",,4/22/2024,Y,N,Outdoor,G0MR2GEQ8,A51,"Miami, FL",FLORIDA
"Miami, FL",,4/22/2024,Y,N,Outdoor,G0MR2GFYR,A52,"Miami, FL",FLORIDA
"Miami, FL",,4/22/2024,Y,N,Outdoor,G0MD2XPXG,A53,"Miami, FL",FLORIDA
"Miami, FL",,4/22/2024,Y,N,Outdoor,G0MD2XQ35,A54,"Miami, FL",FLORIDA
"Miami, FL",,4/22/2024,Y,N,Outdoor,G0MD2XQ9R,A55,"Miami, FL",FLORIDA
"Miami, FL",,4/22/2024,Y,N,Outdoor,G0MR2GFVY,A56,"Miami, FL",FLORIDA
"Miami, FL",,4/22/2024,Y,N,Outdoor,G0MD2XPTR,A57,"Miami, FL",FLORIDA
"Miami, FL",,4/22/2024,Y,N,Outdoor,G0MD2XPQW,A58,"Miami, FL",FLORIDA
